,Oil,Russia,China,Korea,Brazil,Mexico,US,Italy,France,German,Netherlands,UK
2008-04-01 00:00:00,0.1187371371401893,0.1475549673316455,0.2288923466364394,0.1324301187138765,0.2075683714563013,0.1357999889950543,0.096809534,0.086034068261822,0.0974597901647525,0.0942104353991587,0.1015257886579293,0.0989106014915748
2008-04-02 00:00:00,0.1091344340134825,0.1504199457557626,0.2238439874946589,0.1359352965367812,0.2128627709244522,0.1320606570012114,0.099086686,0.0835443993448896,0.0954255751462094,0.0975788362506038,0.1001628135750219,0.09905586746528
2008-04-03 00:00:00,0.1115549720996757,0.1500717795535724,0.2077280761700186,0.1241669914809286,0.1974237585643391,0.1371405704160873,0.097505915,0.0889499641738887,0.0997689493249469,0.1012125798082294,0.1046966400912023,0.099902471600378
2008-04-04 00:00:00,0.1070354943481654,0.1459348912009538,0.2075824142494592,0.1260895805678085,0.191165572678741,0.1342762866166274,0.092896735,0.0860992547113545,0.0949221495103869,0.0965162073541593,0.1051817889596023,0.0956045963153797
2008-04-07 00:00:00,0.113935475344911,0.1524615565093488,0.2104705135723209,0.1325613170849138,0.1817754355835117,0.1328224159249532,0.092400636,0.0871640570713848,0.0922424907624372,0.0984540737571319,0.0993194741944251,0.0954317730850363
2008-04-08 00:00:00,0.1188534026757851,0.1412507497649515,0.2186234399043588,0.12696458901601,0.1865005834409047,0.1370103597617814,0.093028789,0.0856639888304505,0.0934482231076282,0.1020034165404874,0.1071905578603957,0.0951986735525764
2008-04-09 00:00:00,0.1219294453900932,0.1314508571459595,0.2110657964171973,0.1249907287027154,0.1863951968089334,0.132185825509939,0.0936708,0.0824918423109881,0.0936189684371118,0.1030307230391809,0.0985566803220234,0.093556752164442
2008-04-10 00:00:00,0.1128513958781733,0.1412373461790582,0.215280885583922,0.1263964572712348,0.1860769196424136,0.1344526053249721,0.090772133,0.0895218637300031,0.092569778625588,0.0979143795494999,0.0980275732440217,0.0913534443600219
2008-04-11 00:00:00,0.1149446340043737,0.1436069076249268,0.2000807502539806,0.1265105671937006,0.1847801981713111,0.1241816290533408,0.09343046,0.0862615896228847,0.0917775454905044,0.1016880976335606,0.1029982372416285,0.0927017513095072
2008-04-14 00:00:00,0.1159653652400529,0.1431001642500187,0.2096279004631734,0.1285345666859818,0.1844316013777817,0.1371475731282172,0.095411327,0.0908226726169941,0.0995964238041198,0.1010815279073898,0.1032188474203922,0.097365249527156
2008-04-15 00:00:00,0.1207131524262047,0.1434710282548305,0.2081636591614311,0.126086166502641,0.1815409482957674,0.1368774806756107,0.090379428,0.0877856574393036,0.1078412298640628,0.0991360495065825,0.1001127826103974,0.0945374906737454
2008-04-16 00:00:00,0.1211370369950646,0.1269314978640397,0.1694438793864152,0.1266290088513327,0.1640408986713984,0.1317679812401094,0.086706746,0.0851365785336971,0.0936518017989247,0.0935491377129314,0.1050149830886244,0.0893842790984579
2008-04-17 00:00:00,0.117405552919975,0.1274975959920645,0.1650028500904259,0.119774859602297,0.1580759871567405,0.1324774849423458,0.088990898,0.0863200177747612,0.09588718572921,0.0912189706492578,0.0920892046041855,0.0882328972233455
2008-04-18 00:00:00,0.1213915936997644,0.1297404633904789,0.1606353566915598,0.1148870347869741,0.1607640179765221,0.1310123414935926,0.089933448,0.0774138824506549,0.0844154090237246,0.0877249209695694,0.097447445177493,0.0824577356128465
2008-04-21 00:00:00,0.1225419594082946,0.1265136096187065,0.1498438770451675,0.1215215747579019,0.1596201462810116,0.119284705349882,0.087947565,0.0850987160259149,0.0833109460494312,0.088161231443804,0.098273647113607,0.0826748682328081
2008-04-22 00:00:00,0.1217501482165735,0.114186762511819,0.1544075749373275,0.1181871989829693,0.1648851314199722,0.1212675076960679,0.085969093,0.0737051828555896,0.0788943651720531,0.0859177175997294,0.0936045730464542,0.0831069318125784
2008-04-23 00:00:00,0.1185133737441594,0.1186587025815913,0.1512687442818649,0.1148561612832393,0.1628449029994484,0.1225775411800393,0.081861614,0.0919217297594948,0.0765602447095081,0.0829262321166581,0.094693964156215,0.0781949283540757
2008-04-24 00:00:00,0.1125189738628809,0.1530420495498812,0.1562749723964522,0.1145429093273823,0.1392240184065695,0.1213761293645091,0.082270487,0.0675592644634607,0.0763632773154803,0.0799141722659118,0.0914612025127619,0.0789990036814299
2008-04-25 00:00:00,0.1207285179602635,0.1090903539148656,0.1478105590215674,0.1056315000764895,0.1515187152253711,0.1264036108786781,0.082223377,0.0666520835441564,0.0768703194670918,0.0788150504013786,0.0848823646197157,0.0768807120804125
2008-04-28 00:00:00,0.1191993288847118,0.1044256802381776,0.144884378404994,0.1149749740095884,0.1483401410737263,0.1296579182443145,0.082842988,0.0694097214647688,0.0791035560323943,0.0850709453477479,0.0853478807273071,0.0837696335941717
2008-04-29 00:00:00,0.1157983168109632,0.1123320859724503,0.1445509922540717,0.1137504940708342,0.1514508058174719,0.1206930242388449,0.086177657,0.0677978558081472,0.0833867885270056,0.084187256022918,0.0878177778073065,0.0877096855405791
2008-04-30 00:00:00,0.1121321817315185,0.1060717248111696,0.1440744374545479,0.1001155219803677,0.1436010047457942,0.1234603946853368,0.089690871,0.0683998228949827,0.0844047409110497,0.0822625414627088,0.0847231630146915,0.0860586991232056
2008-05-01 00:00:00,0.1053441027075271,0.0911800896445286,0.1417899159473255,0.0996358602086983,0.1477031056552301,0.1230770500516688,0.082814786,0.0683998228949827,0.0844047409110497,0.0822625414627088,0.0847231630146915,0.0865277899799418
