,Oil,Russia,China,Korea,Brazil,Mexico,US,Italy,France,German,Netherlands,UK
2008-04-01 00:00:00,0.0140985077362481,0.0217724683842429,0.0523917063487359,0.0175377363425714,0.043084628829021,0.0184416370110568,0.009372086,0.0074018609016798,0.0094984106989575,0.008875606138099,0.0103074857626145,0.0097833070874251
2008-04-02 00:00:00,0.0119103246874431,0.0226261600811665,0.050106130737509,0.0184784048445426,0.0453105592456358,0.0174400171275916,0.009818171,0.0069796666618983,0.0091060403919848,0.0095216292840221,0.0100325892232645,0.0098120648792991
2008-04-03 00:00:00,0.0124445118001594,0.022521539018376,0.043150953629297,0.015417441773425,0.0389761404456704,0.0188075360540498,0.009507403,0.007912096126536,0.0099538432494038,0.0102439863114372,0.0109613864463867,0.0099805038318643
2008-04-04 00:00:00,0.0114565970503561,0.0212969924698342,0.043090458705634,0.0158985823277658,0.036544276177591,0.0180301211475506,0.008629803,0.0074130816618507,0.0090102144676722,0.009315378282031,0.0110632087287423,0.0091402388366267
2008-04-07 00:00:00,0.0129812925420708,0.0232445262132533,0.0442978370833965,0.017572502787287,0.0330423089815754,0.0176417941721412,0.008537878,0.0075975728451436,0.0085086771020583,0.0096932046393747,0.009864357954257,0.0091072233141538
2008-04-08 00:00:00,0.0141261313276123,0.0199517743091609,0.0477962084756148,0.0161200068640043,0.0347824676237978,0.0187718386820527,0.008654356,0.0073383189823435,0.008732570401973,0.0104046969859321,0.0114898156944228,0.00906278744617
2008-04-09 00:00:00,0.0148667896531357,0.0172793278444074,0.0445487704172257,0.0156226822616358,0.034743169393441,0.017473092465744,0.008774219,0.0068049040478609,0.0087645112512289,0.0106153298899764,0.0097134192360975,0.0087528658755588
2008-04-10 00:00:00,0.0127354375516522,0.0199479879557031,0.0463458596977977,0.015976064410719,0.0346246200236092,0.0180775030786727,0.00823958,0.0080141640856932,0.0085691639147903,0.0095872257225635,0.009609405116112,0.0083454517964396
2008-04-11 00:00:00,0.0132122688863994,0.0206229439175942,0.0400323066221957,0.0160049236116718,0.034143721636229,0.0154210769943415,0.008729251,0.0074410618442669,0.0084231178562616,0.0103404692003325,0.0106086368748828,0.0085936146958497
2008-04-14 00:00:00,0.0134479659352588,0.0204776570083823,0.0439438566525981,0.0165211348331531,0.0340150155867729,0.0188094568149596,0.009103321,0.0082487578612937,0.0099194476345698,0.0102174752840924,0.0106541304627942,0.0094799918154853
2008-04-15 00:00:00,0.0145716651686721,0.0205839359484983,0.0433321089954764,0.0158977213833317,0.0329571159081264,0.0187354447161021,0.008168441,0.0077063216520507,0.0116297308585936,0.0098279563117715,0.0100225692419966,0.0089373371428885
2008-04-16 00:00:00,0.0146741817319436,0.0161116051500087,0.028711228261518,0.0160349058826708,0.02690941643692,0.0173628008800938,0.00751806,0.0072482370044243,0.008770659980185,0.008751441166833,0.011028146673104,0.007989549349951
2008-04-17 00:00:00,0.013784063856445,0.0162556369837557,0.0272259405379635,0.0143460169927499,0.0249880177155779,0.0175502840166494,0.00791938,0.0074511454686351,0.009194352387068,0.0083209006063101,0.0084804216046315,0.0077850441524254
2008-04-18 00:00:00,0.0147359190209687,0.0168325878407762,0.0258037178194246,0.0131990307621434,0.0258450694759555,0.0171642336236337,0.008088025,0.0059929091960838,0.0071259612806427,0.0076956617591171,0.0094960045716205,0.0067992781623981
2008-04-21 00:00:00,0.0150165318156241,0.0160056934187544,0.0224531874879272,0.0147674931316403,0.0254785910987715,0.0142288409304081,0.007734774,0.0072417914692593,0.0069407137316512,0.0077724027296879,0.0096577097170097,0.0068351338373121
2008-04-22 00:00:00,0.0148230985907576,0.0130386167329305,0.0238416991980264,0.0139682140034399,0.0271871065633815,0.0147058084228159,0.007390685,0.0054324539797759,0.0062243208559012,0.0073818541975468,0.0087618160952089,0.0069067621153005
2008-04-23 00:00:00,0.0140454197562228,0.0140798876983465,0.0228822329966122,0.0131919377847214,0.0265184624328997,0.0150252536017442,0.006701324,0.0084496044019776,0.0058614710699797,0.0068767599730658,0.0089669468476185,0.006114446820299
2008-04-24 00:00:00,0.0126605194791556,0.0234218689304283,0.0244218669975118,0.0131200780771809,0.0193833273012728,0.01473216477951,0.006768433,0.0045642542148438,0.0058313501223609,0.0063862749289458,0.0083651515650804,0.0062408425826585
2008-04-25 00:00:00,0.0145753750488816,0.0119007053172706,0.0218479613582682,0.0111580138084094,0.0229579210635471,0.0159778728431682,0.006760684,0.0044425002407772,0.0059090460149727,0.0062118121697718,0.0072050158234343,0.0059106438899912
2008-04-28 00:00:00,0.0142084800065656,0.0109047226932061,0.0209914831058015,0.0132192446485055,0.022004797453773,0.0168111757634493,0.006862961,0.0048177094338167,0.0062573725769701,0.0072370657423595,0.0072842607446426,0.0070173515125017
2008-04-29 00:00:00,0.0134092501762522,0.0126184975389219,0.0208949893616367,0.0129391749013588,0.0229373465827615,0.0145668060999184,0.007426589,0.0045965492521823,0.0069533565008475,0.0070874940766683,0.0077119620990134,0.0076929889376272
2008-04-30 00:00:00,0.0125736261798703,0.0112512108044165,0.0207574435278444,0.0100231177414014,0.0206212485640016,0.0152424690558591,0.008044452,0.004678535772065,0.0071241602882614,0.0067671257279038,0.0071780143512139,0.0074060996947784
2008-05-01 00:00:00,0.011097379975254,0.0083138087475842,0.0201043802643496,0.0099273046395272,0.0218162074202,0.015147960249421,0.006858289,0.004678535772065,0.0071241602882614,0.0067671257279038,0.0071780143512139,0.0074870584388129
